#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,MVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,25149.66,225148.61,-3609.17,104297.57,0.00,0.00,0.00,25149.66,225148.61,None,13527.93,13527.93
CMS_Spread_Swap,CPTY_A,25149.66,225148.61,104297.57,-3609.17,#N/A,#N/A,#N/A,0.00,0.00,None,13527.93,13527.93
